Top Posts,Member,Comments,Reactions,Views,Link,Month
"היי לכולם, מעוניינת בלימודי רפואה-בעברית בלבד מוכנה להשקיע כל הנדרש בעבור זה 

עכשיו התחלתי ללמוד לפסיכומטרי(באופן עצמאי), לאחר בדיקות מול פקולטות מסתבר שאצטרך לשפר את התעודת בגרות גם

מצורף תעודת הבגרות למטה
הוא עומד על 80 בערך
כלומר צריכה 25 נקודות שיפור בערך

איזה מקצועות הכי קל לשפר , ומהמנוסים מה אתם ממליצים?
כלומר מה יקפיץ לי את הממוצע 

מדגישה!💡 - בבקשה לא להמליץ על לימודים בחו״ל.",Anonymous participant,18,39,2753,https://www.facebook.com/groups/mlimudim/posts/1083245945999005/,Oct-24
"אני בן 24 ועדיין לא יודע מה לעשות 😅

אני מתלבט בין 2 אפיקים שונים בעליל.

באחד יש כסף טוב, תנאים נוחים ומכל מה שמשתמע מכך

בשני, מדובר בתשוקה אדירה כזאת שיש לי חשק לקום כל בוקר ורעב בעיניים אך לא מתגמלת 

מה עושים?😪",Osher Avraham,19,26,1972,https://www.facebook.com/groups/mlimudim/posts/1093995984924001/,Oct-24
"שלום לכולם, הייתי שמחה לשמוע את דעתכם ומה אתם הייתם עושים במקומי וסליחה על החפירה מראש😅
היו לי מלא התלבטויות שנה שעברה מה להתחיל ללמוד והתלבטתי ממש בין 2 מקצועות שדי התחברתי אליהם, או הנדסת תוכנה או עיצוב מדיה. אחרי התלבטויות רבות נרשמתי להנדסאי תוכנה, לימודים במשך שנתיים בלבד. ( נרשמנו אני ובן זוגי ללימודים ביחד).
התחלנו את הלימודים הכל היה טוב ויפה, דווקא מאוד התחברתי ללימוד,לכיתה,למרצים, והכל די זרם לי.
סמסטר א׳ עבר לי בהצלחה, עברתי את כל המבחנים למרות שהיה קשה בטירוף אבל ברגע שהתחלנו את סמסטר ב׳ משהו בי השתנה.
התחלתי פחות לרצות לבוא למכללה למרות שאני לומדת עם בן זוגי ויש לי חברים מדהימים בכיתה וזה כאילו הכי צריך לתת לי מוטיבציה והבן זוג שלי באמת תמיד ניסה להרים ולתמוך ולעזור אך עדיין הרגשתי שהלימודים האלה פתאום לא בשבילי.
הרגשתי שהחומר משעמם אותי, שלא בטוח ארצה באמת לעבוד בזה בעתיד ושלא בטוח שיש לי מה להציע לחברות הייטק בעתיד ושאם אסיים ללמוד את זה זה נטו לרזומה (לפחות כרגע) ושרוב השיעורים שבהם באמת נהניתי והצלחתי זה נטו השיעורי עיצוב ובניית אתרים שעשינו שזה קורס אחד מתוך מלא קורסים אחרים (שבהם לומדים ממש שפות תיכנות קשות יותר וסייבר שזה דווקא כן מעניין) ורק בו גם באמת קיבלתי 100 לעומת שאר הקורסים האחרים שקיבלתי בהם פחות אך כן עברתי בציון טוב.
בכל אופן, התחלתי קצת לזלזל מתוך חוסר חשק ולחשוב אולי לכיוון אחר של לימודים אך עדיין החלטתי לגשת למבחנים בסמסטר ב׳ ולא לוותר (למקרה וכן אחליט להמשיך לשנה ב׳).
וכך היה,ניגשתי לכל המבחנים ועברתי את כולם כך שסיימתי את שנה א׳ בהצלחה כמו כולם (מלבד המבחן החיצוני שיש בכל סוף שנה שלא ניגשתי אליו עקב ניתוח שעברתי באותו החודש אך ניתן להשלים אותו גם אחרי זה).
לאחר סיום תקופת המבחנים ולפני תחילת שנת הלימודים הבאה היה לנו 3 חודשים חופש ובזמן הזה באמת חשבתי מה אני רוצה לעשות, האם להמשיך לשנה ב׳ בתוכנה או להירשם לתקשורת חזותית שמתמקדת בעיצוב וכדומה (באותה המכללה ובמקרה גם גיליתי שחברה שלי גם נרשמה לזה כך שנהיה ביחד).
לבסוף החלטתי לעזוב את תוכנה עם כל הקושי שבדבר, שזה כביכול כרוך ב״לעזוב״ את הבן זוג, את החברים הטובים, את הסביבה המוכרת, את המרצים המקסימים ולהרגיש תחושת פספוס שכאילו פרשתי באמצע ולא באמת סיימתי את הלימודים.
היה לי נורא קשה גם עצם המחשבה שאני צריכה להתחיל שנתיים חדשות והכל מחדש ושכאילו זה עוד זמן לבזבז מהחיים שבזמן הזה אני יכולה לעשות כסף ולהתפתח (ואני צריכה כסף כי המצב הכלכלי לא מזהיר) במיוחד שאני לא צעירה כבר אך בכל מקרה, החלטתי ללכת על זה פשוט עם המון חשש.
היינו אמורים להתחיל ללמוד כמו כל המכללות ב3.11 אך המכללה שלנו החליטה שהיא מצטרפת לשביתה של כלל המכללות ולכן לא מתחילים ללמוד כמתוכנן.
לנו כשנה א׳ הוחלט שאנחנו כן נגיע למכללה כרגיל עפ״י המערכת אך לא באמת נלמד אלא נעבור על החומר בחפיף, נעשה היכרויות , שיחות וכו׳..
אז הלכתי כמובן כרגיל למכללה , לכיתה החדשה ולמקצוע החדש ששם כמובן הייתי עם חברה שלי כבר ככה שזה נתן לי טיפת נחת.
אין לי ספק שביום הראשון הכל תמיד נראה מלחיץ ומבהיל (למרות שיש לי כביכול ניסיון משנה קודמת) אך משהו פשוט לא זרם לי ביום הזה, בכיתה, באווירה.
המרצות מקסימות אך גם קשוחות אבל שה פחות מדאיג אותי,הכיתה חמודה וקטנה, סך הכל אולי 10 תלמידים למרות שלא כל כך הצלחתי להרגיש חיבור וקשר לאותן תלמידות שהיו בכיתה אבל עדיין אמרתי ניתן לזה צ׳אנס.
אבל מה שבאמת קרה זה שפתאום נחת עליי כמו הלם כזה, הבנתי שיש מלא קורסים גם במהלך הלימודי תקשורת חזותית שכנראה פחות אתחבר אליהם ושפתאום אני משתעממת בכיתה כי אין אף אחת בוויב שלי או מישהי שאני יכולה להתחבר אליה (מלבד החברה שהכרתי מלפני) ושזה אשכרה עכשיו עוד שנתיים שלמות ושאולי חבל לוותר על תוכנה ופשוט עדיף לסיים את שנה ב׳ כי כבר עברתי את חצי הדרך ופשוט לקבל תעודת הנדסאי כמו כולם , לצאת לעבוד תקופה במה שיש ולאחר מכן תוך כדי החיים והעבודה ללמוד תקשורת חזותית אך במסלול ערב (שזה 3 שנים ולא שנתיים).
לבסוף הבנתי שגם זה לא הרעיון הכי טוב,
הבנתי שסביר להניח שבעיצוב מדיה אני כן ארצה לעסוק בעתיד, שכן יש לי מה להציע לחברות ועסקים כי אני באה עם ניסיון ורקע עוד מלפני הלימודים ושכדאי כן כבר לסיים עם זה וללמוד ושאולי זאת טעות להמשיך את שנה ב׳ בתוכנה.
אז בקיצור אחרי כל החפירה הזאת , עקב השביתה יש לי עד סוף השבוע להחליט מה אני באמת רוצה לעשות כי עוד לא התחלנו את הלימודים באופן רישמי אז יש לי עוד זמן להתחרט ולחזור לשנה ב׳ או פשוט להמשיך בתקשורת חזותית שנתיים מחדש.
מה אתם הייתם עושים במקומי? אני במחשבות בלי הפסקה ובאמת לא יודעת מה לעשות כבר כי בא לי גם וגם ובא לי לסיים עם הלימודים האלה כי כבר נמאס לי השיגרה הזאת וההגבלה הזאת כי הלימודים הם בבקרים ולכן הם אינטנסיביים ואין זמן לעבוד בקושי ולא כלום.",Anonymous participant,22,9,455,https://www.facebook.com/groups/mlimudim/posts/1095930074730592/,Oct-24
"היי לכולם מתלבטת לגבי תואר אשמח לשמוע את דעתכם-
חשבתי על תואר בניהול אבל נאמר לי שזה תואר שלא נותן יותר מידי (למרות שאני רוצה להשאר בעסק שלי ... אבל רוצה גם תואר שיהיה לי שימושי לחיים)
אז חשבתי על הנדסה תעשיה וניהול שיש בו קורסים חופפים לניהול ,כמובן שיותר קשה אבל אני מאוד אוהבת מתמטיקה ולא רוצה תואר שלא יממש את הפוטנציאל שלי
אני מקבלת מימון על התואר, חשבתי ללמוד בפתוחה אבל  שם יש לי מימון רק של 3 שנים ובמקומות אחרים מימון מלא לכל אורך התואר, והבנתי שהתואר בהנדסה תעשיה וניהול הוא מינימום 4 שנים בפתוחה והרוב מסיימים ב5,6 שנים 

המקום היחידי שיש בעיר שלי תעשיה וניהול שאליו אני יכולה להתקבל ישר זה בסמי שמעון אבל שמעתי על המכללה דברים לא טובים במיוחד.
חשבתי אולי להתפשר על תואר בניהול .. אבל לא מוכנה כלכך לוותר על תעשיה וניהול שלדעתי נחשב תואר עם קצת יותר שימוש.
חשוב לציין שאעבוד בערך 4 שעות ביום במהלך התואר ובפתוחה יש לי קצת יותר חופש מאשר במכללה/אונברסיטה עם חובת נוכחות.
המלצות שלכם? לעבור לסמי ללמוד תעשיה וניהול? או בפתוחה ולממן את השנתיים שישארו? או בכלל לעבור לבן גוריון-יש שם גם ניהול עם מגמת עסקי ספורט(ישלי עסק שקשור לספורט) או בפתוחה בדו חוגי עם סטסטיסיקה/כלכלה כי אני אוהבת מתמטיקה ויהיה יותר שמיש... או בפתוחה בניהול?
התלבטות קשה נורא.😭🥲",Zofia Harush,21,6,906,https://www.facebook.com/groups/mlimudim/posts/1093270678329865/,Oct-24
"שלום לכולם,
אשמח להרים את הכפפה לפוסט שאלות-תשובות על תחום הנדסת תעשייה וניהול. 

כמי שמלווה בחמש השנים האחרונות אלפי מתלבטים ללימודים, סטודנטים ובוגרים אשמח לשתף מהידע שלי.

מוזמנים להגיב בפוסט, רואה כל תגובה ומבטיחה לענות 🔝🤗

עוד מידע וטיפים בדף הפייסבוק לתחום הנדסת תעשייה וניהול 
מהנדסי המחר - הנדסת תעשייה וניהול",Chen Bar David,21,5,1119,https://www.facebook.com/groups/mlimudim/posts/1077830353207231/,Oct-24
"היי, 
אני בדיוק בתקופה המבלבלת של איזה תואר בא לי.
הייתי נעולה על משהו אבל הוא כבר לא רלוונטי 
אשמח לשמוע על תארים שהם לא ריאלים (הנדסה, רפואה וכו) שאתם לומדים ויכולים לספר עליהם.

ואם יש מישהו שלומד תקשורת?

תודה 🌟🙏🏻❤️",שחר סגל,20,10,1258,https://www.facebook.com/groups/mlimudim/posts/1082821612708105/,Oct-24
מה דעתכם – עדיף ללכת ללמוד תואר ‘בטוח’ כמו משפטים/חשבונאות או ללכת עם התשוקה ולעשות תואר ב’מקצוע פחות בטוח’ כמו אומנות או פילוסופיה? איזה החלטה תצדיק את עצמה יותר בעתיד?,מתלבטים בלימודים- הדף,20,8,4283,https://www.facebook.com/groups/mlimudim/posts/1086263849030548/,Oct-24
"היי 🙂 
עוד שבוע כולם מתחילים ללמוד ואני נרשמתי בלית ברירה לפסיכולוגיה (רציתי עבודה סוציאלית) כי זה הדבר היחידי שהיה בו מקום… מאוד מפחדת להתחיל ללמוד פסיכולוגיה כי אני לא יודעת מה לומדים בתואר ואם בכלל תואר ראשון יכול לפתוח דלת למשהו.. היעוד שלי להיות פסיכותרפית ובגלל זה הייתי נעולה על עוס. 
אנשים שלומדים פסיכולוגיה שיכולים לתת חווד על התואר? האם כדאי לדחות בשנה ולהתחיל עוס? ממש לא יודעת מה לעשות…",Anonymous participant,15,1,326,https://www.facebook.com/groups/mlimudim/posts/1089600858696847/,Oct-24
"היי לכולם אשמח לעזרה מבעלי הניסיון בפסיכומטרי
עשיתי קורס ביואל גבע קיבלתי 640
128 בכמותי
כדי להתקבל ללימודים שאליהן אני מכוון אני צריך מינימום 650 ו130 כמותי
(הבנתי שאולי שנה הבאה הדרישות יעלו)

השיקול שלי הוא האם לקחת קורס פרו ביואל גבע או שיש המלצה לדרך אחרת לשפר אולי אפילו עצמאית

לגבי הקורס פרו הבנתי שיש לו דגש חזק בכמותי ובנוסף לכמותי שאני צריך לשפר אני גם חלש מאוד באנגלית וזה מה שהפיל לי את הציון אז אשמח גם לטיפים מה לעשות באנגלית
חייב לציין שעשיתי את המקסימום שאפשר באנגלית מבחינת אוצר מילים וקריאת ספרים 
תודה לעונים🙏🏼",Anonymous participant,14,3,724,https://www.facebook.com/groups/mlimudim/posts/1081403139516619/,Oct-24
"היי אשמח לחוות דעת ממישהו שלמד פרסום ותקשורת שיווקית בקריה באונו אם הלימודים באמת מעניינים ויש תעסוקה עם שכר נורמלי אחרי 
מתלבטת מאד אם מתאים לי וצריכה לדבר עם מישהו שלמד
נ.ב אני בהתחלה הייתי בקטע של עבודה סוציאלית כי אני אדם של אנשים ואוהב לעזור אבל אין בזה כסף ויש יותר מתמטיקה ןאני לא ריאלית בעליל",Reut Holzman,14,2,781,https://www.facebook.com/groups/mlimudim/posts/1087162158940717/,Oct-24
"התחלתי ללמוד קצת את תחום ניהול הסושיאל אבל מרגישה שצריכה עוד קורס.
בנות שלמדו איפה  למדתן?
תודה רבה!",Yaar Chowers,13,7,375,https://www.facebook.com/groups/mlimudim/posts/1081006362889630/,Oct-24
האם אתם מתחרטים על הבחירה שעשיתם בלימודים?,מתלבטים בלימודים- הדף,12,12,4211,https://www.facebook.com/groups/mlimudim/posts/1087427052247561/,Oct-24
תחום הנדסת מכונות באמת לא מתגמל ולא שווה כמו שאומרים?,Tomer Mozes,12,10,1522,https://www.facebook.com/groups/mlimudim/posts/1094926674830932/,Oct-24
"היי
אני רוצה להתחיל תואר ראשון בניהול משאבי אנוש/מנהל עסקים וכלכלה 
עדיין מתלבטת בין מכללה לאוניברסיטה 
אשמח להמלצות באזור המרכז",Shoval Cohen,13,1,553,https://www.facebook.com/groups/mlimudim/posts/1097315564592043/,Oct-24
"היי, מחפשת באיזה תחום לעשות תואר ראשון :)
הבעיה היא שהתחומים שעניינו אותי הם מדעי ההתנהגות, אנטרופולוגיה ופסיכולוגיה והבנתי שזה תואר שלא עוזר כתואר ראשון.
אשמח לדעת אם משהו מכיר תחומים שאפשר לעבוד בהם עם התארים האלה או אם יש תואר דומה שיש בו יותר עשייה והכנסה.

שאלה נוספת, אם משהו יודע מה המסלול לימודים שדרכו מגיעים לתרפיה בבישול או באומנות.

תודה..",Anonymous participant,10,15,412,https://www.facebook.com/groups/mlimudim/posts/1091387505184849/,Oct-24
מחפש עובדים מ-8 בבוקר עד 14:00 חמישה ימים בשבוע למעט שבת וראשון... שכר טוב מאוד,Anonymous participant,10,8,903,https://www.facebook.com/groups/mlimudim/posts/1091369188520014/,Oct-24
"מנסה את מזלי לקבל פה מידע/הכוונה.
בת 36, ללא בגרות .
בעלת מקצוע  (רוצה לשנות כיווןן לגמרי כי המקצוע הולך ודועך).
קוראת על לימודים, מנסה להבין מה אני רוצה לעשות ונתקלת בהרבה סימני שאלה עם עצמי.
מה לומדים? האם לגשת לעשות תואר בשביל הטייטל?

נכון להיום ולאחר שקצת חקרתי התחברתי לתואר במדעי ההתנהגות ותואר במדעי התזונה.
לשניהם יש תנאי קבלה אך במדעי התזונה תנאי הקבלה קשים במיוחד ודרוש פסיכןמטרי מאוד גבוהה.

כמעט כל החברות השוות בחוץ לא מסתכלות עלי כשאין לי תואר (כל תואר)
מרגישה שאני תקועה, מרגישה שאני יכולה כל כך יותר פשוט לא יודעת לאן לפנות.
אוהבת לחקור אוהבת להבין איך דברים עובדים
פחות מתחברת לעניין מחשבים והייטק כגון מתמטיקה, אין לי ראש חריף למספרים וזה אפילו קשה לי בהבנה.
מרגישה שיש לי יכולות ניהול גבוהות למרות שאין לי ניסיון.

מרגישה אבודה ויותר מזה, מרגישה שהזמן בורח לי בין האצבעות ואין לי עם מי להתייעץ, לשאול ולהבין
תודה למי שקרא
ואשמח לכל תשובה🤞🏻",Anonymous participant,9,12,834,https://www.facebook.com/groups/mlimudim/posts/1095321994791400/,Oct-24
"שלום לכולם!!!
אשמח לשמוע מאלה מכם שכמוני, התלבטו ועדיין מתלבטים לגבי תואר שמלמד מקצוע יותר ריאלי לעומת תואר הומני-אומנותי ויצירתי",Roni Zislis,10,6,809,https://www.facebook.com/groups/mlimudim/posts/1091066058550327/,Oct-24
"חברים שלמדו קורס אבטחת מידע במכללה שמלמדת חמישה חודשים
ובאמת עובדים בזה? המלצות",Anonymous participant,11,0,331,https://www.facebook.com/groups/mlimudim/posts/1095881908068742/,Oct-24
למי מתאים ללמוד משפטים?,Anonymous participant,10,3,387,https://www.facebook.com/groups/mlimudim/posts/1095978184725781/,Oct-24
"היי מתלבטת בין לימודי 
מדעי התנהגות/פסיכולוגיה/עוס/משאבי אנוש 
מה הכי הרבה אופציות יש שאפשר להתקדם?",לינוי ,10,2,417,https://www.facebook.com/groups/mlimudim/posts/1097817221208544/,Oct-24
"היי, כרגע בהתלבטות לגבי הלימודים לשנה הבאה. הרצון להיות ba
כרגע מבחינת הציונים שלי אני מתקבל להנדסת תעשייה וניהול לאוניברסיטת תל אביב ולבן גוריון ונכנס לוועדת לחריגים להנדסת מערכות מידע בבן גוריון (בתל אביב אין תואר כזה)
ההתלבטות שלי היא מה מהם ללמוד והאם לקחת סיכון בוועדת חריגים (פסיכומטרי אחרון כמותי 138 ובכנות אין לי כוח לעשות עוד אחד).
להבנתי תואר בהנדסת תעשייה וניהול הוא יחסית כללי וגם פחות נחשב בשוק וקצת מלחיץ אותי להשקיע 4 שנים במשהו שבסוף לא ישתלם

אשמח לדעת ההמונים ולהתייעץ עם אנשים שעובדים בתחום",Anonymous participant,9,4,779,https://www.facebook.com/groups/mlimudim/posts/1094087798248153/,Oct-24
"מתלבט על איזה קורס ללכת זה של לוחמים להייטק.
על מה אתם ממליצים? יש לי 10 יחידות הנדסת תוכנה עשיתי 5 פיזיקה 5 מתמטיקה אם זה משפיע על הבחירה",Nir Koorshid,9,1,1051,https://www.facebook.com/groups/mlimudim/posts/1095453194778280/,Oct-24
"בת 23 
ממוצע בגרויות עומד כרגע על 92 
רוצה ללמוד משפטים באוניברסיטת בר אילן. 
מחפשת אנשים שלומדים או למדו שם ויודעים להגיד לי כמה אני צריכה מיצוי בגרויות ופסיכומטרי בשביל להתקבל.",Anonymous participant,8,6,1610,https://www.facebook.com/groups/mlimudim/posts/1096586544664945/,Oct-24
כמה האווירה בקמפוס השפיעה על הבחירה שלכם במוסד לימוד?,מתלבטים בלימודים- הדף,8,6,693,https://www.facebook.com/groups/mlimudim/posts/1093344434989156/,Oct-24
אנשים שלומדים הנדסה בבראודה או הנדסה בכללי מה אתם ממליצים? על איזה הנדסה ללכת? והאם התואר ממש משעמם? אשמח להתייעצות חברים.,Anonymous participant,8,4,534,https://www.facebook.com/groups/mlimudim/posts/1083138046009795/,Oct-24
"שלום לכולם מתלבט להתחיל ללמוד באוניברסיטה הפתוחה תואר במעדי החברה (לא סגור על איזה).
בעיקר בגלל הגמישות והאפשרות לעבוד תוך כדי הלימודים. 
האם אתם ממליצים ? 
האם זה באמת גמיש ? 
תוך כמה זמן ניתן לסיים שם תואר ? 
מה רמת הקושי של הקורסים ? 
תודה רבה לעונים !",Benny Lazerson,8,4,360,https://www.facebook.com/groups/mlimudim/posts/1095014961488770/,Oct-24
"היי
ממש אשמח לעזרה מתלבטת מאוד בין הנדסה תעשיה וניהול לניתוח נתונים וסטטיסטיקה בבן גוריון,
היתרונות מבחינתי להנדסה תעשיה וניהול זה שהוא לא תואר קשה מדי מבחינת המתמטיקה(ממה שהבנתי פה) אבל עדין ריאלי (מתמטיקה לא הצד החזק שלי-60 ב4 יח״ל), לעומת ניתוח נתונים שהוא תואר קצר ביחס להנדסה שזה מאוד משנה לי בהתחשב שאתחיל ללמוד כנראה רק בגיל 25-26 ולא לעבוד במשך 3/4 שנים זה לא משהו שאני יכולה לעשות..
וגם הבעיה שאני לא יודעת כמה הבדל יש במתמטיקה של ניתוח נתונים לעומת הנדסה תעשיה וניהול וזה מאוד משנה לי, אני מפחדת שיהיה לי קשה מדי ולא אוכל להתמודד.
(אני די סגורה על הכיוון שאני מתעניינת של דאטא אנליסט וכו׳ סיימתי לאחרונה קורס שלמדתי בו את כלי היסוד  של התחום)",Anonymous participant,8,4,756,https://www.facebook.com/groups/mlimudim/posts/1088897805433819/,Oct-24
"היי, 
כרגע אני די באזור ביניים בחיים, כמו הרבה אנשים שהשתחררו מהצבא ולא בטוחים איזה כיוון לקחת מבחינת לימודים.

אני חשבתי המון עוד במהלך הצבא על מה ללמוד ולעסוק. אני אמנותית ואוהבת יצירתיות (כל החיים אני יוצרת ומציירת), ומרגישה שאם לא אלך לתחום שבו אשכלל את היצירה שלי והראש היצירתי ארגיש פספוס. מצד שני, בצבא הייתי בתפקיד אינטגרציה ביחידת סייבר ובבית הספר יצא לי לתכנת קצת ולפתח, אבל לא בטוחה אם זה הכיוון אותו אני צריכה לקחת. ואני גם חוששת ממצב השוק ובזה שכמעט ואין עבודה בעיצוב גרפי מרוב שיש ריווי מועמדים. בסוף אחרי הלימודים אני רוצה להגיע למצב שאני כן אוכל למצוא עבודה בתחום אותו בחרתי ללמוד.

כרגע אני חוסכת כסף ללימודים אז מבחינה כלכלית אין לי בעיה, ויש לי גב כלכלי תומך.

פשוט קשה לי מאוד להחליט איזה כיוון לקחת ומה ללמוד, ואם באמת ללכת לתקשורת חזותית האם עדיף להתחיל בקורס UI/UX תעודה, או שעדיף כבר ללכת לתואר שלם בתחום הזה בשנקר/ויצו חיפה/HIT.

אשמח לדעת מה אפשר לעשות ועצות יתקבלו בברכה, גם אנשים שכבר בתחום הזה.",Natalie Gasina,8,3,398,https://www.facebook.com/groups/mlimudim/posts/1095970984726501/,Oct-24
"היי, מנסה שוב כי התעלמו מהפוסט הקודם
אני רוצה ללמוד מדעי ההתנהגות, אשמח לשמוע במה אפשר לעבוד אחרי זה חוץ ממשאבי אנוש בחברות כלשהן כי זה פחות מעניין אותי אבל המקצוע עצמו מאוד מעניין לטפל באנשים וכל זה 
אודה לעזרתכם",Anonymous participant,8,2,400,https://www.facebook.com/groups/mlimudim/posts/1094853448171588/,Oct-24
"שלום לכולם 
לוחם משוחרר ( השתחררתי באוגוסט 23 ומאוקטובר במילואים עד היום )
אני מתלבט מה אני רוצה ללמוד לא יודע מה מדבר אליי הכי חשוב לי זה לימודים שיהיו פרקטיים ולא אצטרך לחפש את עצמי אחרי התואר 
חשבתי ללמוד הנדסאי בניין פלוס מנהל עבודה והבנתי שיש אחלה שוק לזה בחוץ ולימודים קצרים (שנתיים לימודי הנדסאי חצי שנה מנהל עבודה )
מה דעתכם ?
ואם יש לכם עוד דברים להציע אני אשמח ❤️
תודה לכולם",Anonymous participant,8,1,963,https://www.facebook.com/groups/mlimudim/posts/1082206906102909/,Oct-24
"שלום לכולם 🙂 
רשומה כבר לתעשייה וניהול ומתחילה בעזרת השם בנובמבר הקרוב. 
אחרי אינסוף שיחות והתלבטויות עדיין יש ספק קטן אם זה הדבר הנכון. 
אני עובדת כרגע בחברת הייטק ויצא לי בשנה האחרונה לבדוק את כל הכיוונים וכן אגיד שהתפקידים שניתן להגיע אליהם דרך תעשייה וניהול מעניינים אותי יותר ובכל זאת הכלליות של המקצוע קצת מפחידה אותי ולכן יש לי התלבטות קטנה אם ללכת דווקא לכיוון של הנדסת תוכנה.
אשמח להמלצות/דיס המלצות/עזרה וכו׳…",Anonymous participant,7,5,1398,https://www.facebook.com/groups/mlimudim/posts/1081458702844396/,Oct-24
"היי,
אשמח להתייעץ עם סטודנטים או בוגרי כלכלה/ כלכלה ותקשורת",Meitar Zur,8,0,303,https://www.facebook.com/groups/mlimudim/posts/1091601351830131/,Oct-24
יותר קל להשלים 5 יחידות מתמטיקה או 5 פיסיקה?,Anonymous participant,6,9,869,https://www.facebook.com/groups/mlimudim/posts/1084895285834071/,Oct-24
